Longitude,Latitude,Depth,pTemperature,Salinity,d18O,dD,Year,Month,Reference,
144.83,54,903,2.39,34.26,-0.22,**,1998,7,Yamamoto et al (2002),
143,-65.33,88,-1.38,34.26,-0.22,**,2000,12,Jacobs et al (2005),
146.91,-65.91,58,-1.82,34.26,-0.22,**,2001,1,Jacobs et al (2005),
142.45,-66.95,1,-0.68,34.26,-0.21,**,2000,12,Jacobs et al (2005),
144,37,700,3.95,34.26,-0.18,**,1997,5,M. Itou (pers. comm.),
147.51,49.5,909,2.49,34.26,-0.18,**,1999,9,Yamamoto et al (2002),
150.5,47.5,1000,2.4,34.26,-0.17,**,1996,9,Yamamoto et al (2001),
138.8,80.78,75,-1.4,34.26,-0.16,**,2008,10,Abrahamsen et al (2009),
143.97,38.58,800,3.55,34.26,-0.16,**,1997,8,M. Itou (pers. comm.),
143.98,35.02,602,4.75,34.26,-0.14,**,1997,8,M. Itou (pers. comm.),
155.33,47.58,600,3.07,34.26,-0.12,**,1996,9,Yamamoto et al (2001),
133.96,78.5,98,-1.23,34.26,-0.05,**,1995,8,Frank (1996),
144,33,500,9.57,34.26,-0.01,**,1997,5,M. Itou (pers. comm.),
-161.33,16.76,3,25.85,34.26,0.22,1.1,1973,12,GEOSECS Ostlund et al (1987),
-133.7,71.09,199,-0.57,34.27,-0.8,**,1988,3,Melling and Moore (1995),
-109.56,-73.99,468,-1.11,34.27,-0.37,**,1994,3,Jacobs et al (1996),
146,-66.69,109,-1.26,34.27,-0.31,**,2001,1,Jacobs et al (2005),
142.45,-66.95,43,-0.72,34.27,-0.29,**,2000,12,Jacobs et al (2005),
142.59,-66.2,58,-1.29,34.27,-0.28,**,2001,1,Jacobs et al (2005),
149.47,-66.03,38,-1.83,34.27,-0.26,**,2001,1,Jacobs et al (2005),
142.32,79.93,77,-1.08,34.27,-0.24,**,2008,10,Abrahamsen et al (2009),
162.18,80.55,100,-1.24,34.27,-0.21,**,2008,10,Abrahamsen et al (2009),
157.78,79.15,106,-0.99,34.27,-0.2,**,2007,9,Abrahamsen et al (2009),
145.83,44.67,997,2.31,34.27,-0.19,**,1996,9,Yamamoto et al (2001),
143.98,35.02,703,3.95,34.27,-0.18,**,1997,8,M. Itou (pers. comm.),
150,48,998,2.39,34.27,-0.17,**,1996,9,Yamamoto et al (2001),
144.28,-65.52,69,-1.4,34.27,-0.17,**,2001,1,Jacobs et al (2005),
126.23,79.87,97,**,34.27,-0.15,**,2008,10,Abrahamsen et al (2009),
136.48,81.27,75,-1.32,34.27,-0.14,**,2008,10,Abrahamsen et al (2009),
138.8,80.78,77,-1.35,34.27,-0.13,**,2008,10,Abrahamsen et al (2009),
138.7,80.78,97,-1.14,34.27,-0.07,**,2007,9,Abrahamsen et al (2009),
-178.03,-52.58,684,5.33,34.27,-0.05,-1.2,1974,3,GEOSECS Ostlund et al (1987),
-122.99,16.52,103,17.43,34.27,-0.03,**,1974,6,GEOSECS Ostlund et al (1987),
143.98,37.02,200,8.83,34.27,0,**,1997,8,M. Itou (pers. comm.),
134.45,7.33,2,31.25,34.27,0.2,**,1998,9,Morimoto et al (2002),
173.67,-66.08,60,-1.5,34.27,,-2.6,1974,2,GEOSECS Ostlund et al (1987),
-103.19,-74.55,350,-1.03,34.28,-0.4,**,1994,3,Jacobs et al (1996),
-143.43,72.57,247,-0.66,34.28,-0.38,**,1984,10,Ostlund and Grall (1993),
147.71,-66.5,38,-1.64,34.28,-0.33,**,2001,1,Jacobs et al (2005),
143.12,-65.63,79,-1.47,34.28,-0.24,**,2000,12,Jacobs et al (2005),
132.42,78.48,97,-1.35,34.28,-0.21,**,2007,9,Abrahamsen et al (2009),
146.5,51.25,900,2.38,34.28,-0.19,**,1998,7,Yamamoto et al (2002),
133.52,78.1,98,-1.32,34.28,-0.19,**,1993,9,Frank (1996),
150.65,47.65,1100,2.4,34.28,-0.18,**,1998,7,Yamamoto et al (2002),
144,37,600,4.92,34.28,-0.14,**,1997,5,M. Itou (pers. comm.),
145.01,45.67,999,2.36,34.28,-0.14,**,1998,8,Yamamoto et al (2002),
159.67,79.9,100,-1.13,34.28,-0.1,**,2008,10,Abrahamsen et al (2009),
142.97,79.8,77,-1.23,34.28,-0.07,**,2008,10,Abrahamsen et al (2009),
124.19,20.27,636,7.41,34.28,,0.1,**,**,Horibe and Ogura (1968),
135.9,28,549,9.86,34.28,,1.1,**,**,Horibe and Ogura (1968),
135.93,29.97,943,5.55,34.28,,-0.2,**,**,Horibe and Ogura (1968),
136.02,33.23,518,6.3,34.28,,0.9,**,**,Horibe and Ogura (1968),
136.02,33.23,608,5.08,34.28,,0.5,**,**,Horibe and Ogura (1968),
-178.03,-52.58,762,5.09,34.28,,-1.7,1974,3,GEOSECS Ostlund et al (1987),
-140.98,71.72,200,-0.74,34.29,-0.52,**,1984,10,Ostlund and Grall (1993),
-110.86,-73.36,288,-0.74,34.29,-0.38,**,1994,3,Jacobs et al (1996),
-163,75.4,175,-1.08,34.29,-0.29,**,1993,8,Cooper et al (1999),
140.43,-66.4,2,-1.03,34.29,-0.26,**,2000,12,Jacobs et al (2005),
159.33,79.75,100,-1.21,34.29,-0.23,**,2008,10,Abrahamsen et al (2009),
148.03,80.4,97,-1.22,34.29,-0.19,**,2007,9,Abrahamsen et al (2009),
145,45.5,998,2.31,34.29,-0.18,**,1996,9,Yamamoto et al (2001),
139.83,79.42,97,-1.04,34.29,-0.17,**,2007,9,Abrahamsen et al (2009),
151.27,46.85,1000,2.34,34.29,-0.17,**,1996,9,Yamamoto et al (2001),
145.51,53.03,909,2.41,34.29,-0.17,**,2000,6,Yamamoto et al (2002),
144.12,80.33,97,-1.07,34.29,-0.16,**,2007,9,Abrahamsen et al (2009),
146.73,34.03,600,4.53,34.29,-0.15,**,1996,5,M. Itou (pers. comm.),
152.3,46.04,799,2.98,34.29,-0.15,**,1998,7,Yamamoto et al (2002),
155.5,46,597,3.04,34.29,-0.14,**,1996,8,Yamamoto et al (2001),
126,77.83,101,-1.13,34.29,-0.12,**,2008,10,Abrahamsen et al (2009),
122.69,80.89,98,-1.23,34.29,-0.11,**,1995,9,Frank (1996),
130.57,79.65,126,-1.31,34.29,-0.06,**,1993,9,Frank (1996),
126.17,77.07,175,-1.01,34.29,-0.01,**,2008,10,Abrahamsen et al (2009),
-110,1.5,3,25.41,34.29,0.25,**,1991,1,Laube-L'Enfant (1996),
135.9,28,11,22.76,34.29,,2.5,**,**,Horibe and Ogura (1968),
135.99,30.98,1078,5.24,34.29,,0.7,**,**,Horibe and Ogura (1968),
149.49,-65.98,98,-1.87,34.3,-0.26,**,2001,1,Jacobs et al (2005),
142.83,-66.32,63,-1.23,34.3,-0.25,**,2000,12,Jacobs et al (2005),
130.05,77.62,98,-0.97,34.3,-0.22,**,1995,8,Frank (1996),
142.16,-64.96,69,-1.23,34.3,-0.22,**,2000,12,Jacobs et al (2005),
133.05,78.38,98,-1.44,34.3,-0.21,**,1993,9,Frank (1996),
160.22,80.03,101,-1.11,34.3,-0.18,**,2008,10,Abrahamsen et al (2009),
144.34,53.99,1010,2.39,34.3,-0.17,**,1999,9,Yamamoto et al (2002),
145.84,53,909,2.41,34.3,-0.16,**,2000,6,Yamamoto et al (2002),
144.75,53,970,2.43,34.3,-0.16,**,2000,6,Yamamoto et al (2002),
158.35,79.45,100,-1.1,34.3,-0.14,**,2008,10,Abrahamsen et al (2009),
-177,-54,0,**,34.3,-0.08,**,**,**,Craig and Gordon (1965),
144,37,300,8.9,34.3,-0.02,**,1997,5,M. Itou (pers. comm.),
-129.95,-43.01,826,5.47,34.3,-0.01,**,1974,4,GEOSECS Ostlund et al (1987),
146.73,34.03,175,10.25,34.3,0.02,**,1996,5,M. Itou (pers. comm.),
-176.9,78.15,137,-1.14,34.3,0.03,**,1994,8,Ekwurzel et al (2001),
126.17,77.07,220,-0.99,34.3,0.05,**,2008,10,Abrahamsen et al (2009),
134.45,7.33,2,30.8,34.3,0.18,**,1998,10,Morimoto et al (2002),
134.5,7.5,0,**,34.3,0.3,**,**,**,Epstein and Mayeda (1953),
-179.24,59.49,1000,2.88,34.31,-0.39,**,1990,6,Cooper et al (1997),
-113.9,-73.02,382,-0.68,34.31,-0.39,**,1994,3,Jacobs et al (1996),
-101.48,-74.9,401,-0.04,34.31,-0.36,**,1994,3,Jacobs et al (1996),
125.98,77,87,-1.03,34.31,-0.33,**,2007,9,Abrahamsen et al (2009),
140.71,-65.99,68,-1.19,34.31,-0.3,**,2000,12,Jacobs et al (2005),
142.66,-66.63,83,-1.31,34.31,-0.29,**,2000,12,Jacobs et al (2005),
142.85,29.08,967,3.85,34.31,-0.28,**,1984,8,Oba (1988),
143.98,-65.88,58,-1.57,34.31,-0.26,**,2001,1,Jacobs et al (2005),
144,-65.83,54,-1.62,34.31,-0.24,**,2001,1,Jacobs et al (2005),
125.98,77,80,-1.03,34.31,-0.21,**,2007,9,Abrahamsen et al (2009),
173.67,-66.08,69,-1.42,34.31,-0.19,-2.3,1974,2,GEOSECS Ostlund et al (1987),
145.39,52.93,1005,2.4,34.31,-0.17,**,1998,7,Yamamoto et al (2002),
146.32,52.34,998,2.39,34.31,-0.17,**,1999,9,Yamamoto et al (2002),
130.04,77.62,122,-0.97,34.31,-0.16,**,1995,8,Frank (1996),
135.07,78.34,149,-1.03,34.31,-0.16,**,1995,9,Frank (1996),
148.31,49,1001,2.46,34.31,-0.14,**,1996,10,Yamamoto et al (2001),
151.9,46.38,801,2.95,34.31,-0.14,**,1998,7,Yamamoto et al (2002),
-174.31,79.98,141,-1.22,34.31,-0.12,**,1994,8,Ekwurzel et al (2001),
176.88,81.58,132,-1.14,34.31,-0.11,**,1994,8,Ekwurzel et al (2001),
125.98,78.82,97,-0.91,34.31,-0.07,**,2008,10,Abrahamsen et al (2009),
126,78.15,100,-1.01,34.31,0.01,**,2008,10,Abrahamsen et al (2009),
143.98,35.02,200,10.7,34.31,0.31,**,1997,8,M. Itou (pers. comm.),
124.19,20.27,801,5.05,34.31,,0.1,**,**,Horibe and Ogura (1968),
145.8,-66.76,148,-1.51,34.32,-0.29,**,2001,1,Jacobs et al (2005),
125.98,77.15,95,-1.48,34.32,-0.28,**,2007,9,Abrahamsen et al (2009),
-103.1,-73.39,326,-0.55,34.32,-0.27,**,1994,3,Jacobs et al (1996),
-149.75,88,0,**,34.32,-0.27,**,1992,**,Bauch et al (1995),
135.5,78.65,97,-1.65,34.32,-0.23,**,2007,9,Abrahamsen et al (2009),
144.16,-65.69,58,-1.37,34.32,-0.2,**,2001,1,Jacobs et al (2005),
137.67,79,97,-1.07,34.32,-0.18,**,2007,9,Abrahamsen et al (2009),
144,41.52,1000,3.1,34.32,-0.18,**,1997,5,M. Itou (pers. comm.),
143.98,37.02,800,3.08,34.32,-0.18,**,1997,8,M. Itou (pers. comm.),
-164.8,73.59,130,-0.59,34.32,-0.18,**,1990,9,Cooper et al (1997),
143.98,35.02,801,3.56,34.32,-0.17,**,1997,8,M. Itou (pers. comm.),
143.17,37.47,700,3.5,34.32,-0.16,**,1996,5,M. Itou (pers. comm.),
154.83,46.33,700,2.91,34.32,-0.15,**,1996,8,Yamamoto et al (2001),
156.82,78.75,108,-0.91,34.32,-0.13,**,2007,9,Abrahamsen et al (2009),
148.07,52,1000,2.41,34.32,-0.13,**,1996,10,Yamamoto et al (2001),
146.73,34.03,700,4.17,34.32,-0.12,**,1996,5,M. Itou (pers. comm.),
-178.03,-52.58,861,4.82,34.32,-0.1,-1.1,1974,3,GEOSECS Ostlund et al (1987),
156.82,78.75,116,-0.91,34.32,-0.09,**,2007,9,Abrahamsen et al (2009),
135.95,80.98,123,-0.92,34.32,-0.06,**,1995,8,Frank (1996),
134.91,79.99,124,-0.89,34.32,-0.03,**,1995,8,Frank (1996),
146.73,34.03,150,10.75,34.32,0.03,**,1996,5,M. Itou (pers. comm.),
-110,2,3,25.51,34.32,0.25,**,1991,1,Laube-L'Enfant (1996),
-110,2.5,3,25.71,34.32,0.26,**,1991,1,Laube-L'Enfant (1996),
142.55,36,823,4,34.32,,-0.8,**,**,Horibe and Ogura (1968),
136.02,33.23,703,4.5,34.32,,0.1,**,**,Horibe and Ogura (1968),
-156.7,71.56,134,-0.41,34.33,-0.66,**,1992,8,Cooper et al (1997),
144.71,-67.2,1,-1.07,34.33,-0.34,**,2001,1,Jacobs et al (2005),
-101.48,-74.9,428,-0.14,34.33,-0.33,**,1994,3,Jacobs et al (1996),
-101.36,-74.74,380,-0.1,34.33,-0.32,**,1994,3,Jacobs et al (1996),
140.84,-66.02,69,-1.27,34.33,-0.29,**,2000,12,Jacobs et al (2005),
141.93,-65.35,84,-1.74,34.33,-0.29,**,2000,12,Jacobs et al (2005),
-103.19,-72.1,273,-0.47,34.33,-0.28,**,1994,3,Jacobs et al (1996),
143.17,37.47,800,3.04,34.33,-0.2,**,1996,5,M. Itou (pers. comm.),
144,33,1000,3.65,34.33,-0.17,**,1997,5,M. Itou (pers. comm.),
-168.84,74.5,132,-0.85,34.33,-0.17,**,1994,7,Ekwurzel et al (2001),
145.5,41.5,799,2.76,34.33,-0.15,**,1996,8,Yamamoto et al (2001),
145.55,53.03,1013,2.37,34.33,-0.14,**,1999,9,Yamamoto et al (2002),
148.1,79.45,123,-0.8,34.33,-0.14,**,1995,7,Frank (1996),
156.82,78.75,120,-0.91,34.33,-0.12,**,2007,9,Abrahamsen et al (2009),
143.09,79.82,124,-0.81,34.33,-0.12,**,1995,9,Frank (1996),
142.68,79.62,97,-0.97,34.33,-0.11,**,2007,9,Abrahamsen et al (2009),
125.97,78.07,97,-1.25,34.33,-0.08,**,2007,9,Abrahamsen et al (2009),
-178.62,80.33,132,-1.1,34.33,-0.08,**,1994,8,Ekwurzel et al (2001),
131,-49.08,0,**,34.33,-0.07,**,**,**,Craig and Gordon (1965),
-178.03,-52.58,533,6.26,34.33,-0.05,-1,1974,3,GEOSECS Ostlund et al (1987),
-129.95,-43.01,1054,4.32,34.33,-0.04,**,1974,4,GEOSECS Ostlund et al (1987),
125.75,78.5,97,-0.89,34.33,-0.03,**,2008,10,Abrahamsen et al (2009),
-175.82,78.98,135,-1.04,34.33,-0.03,**,1994,8,Ekwurzel et al (2001),
144,37,250,9.93,34.33,0.03,**,1997,5,M. Itou (pers. comm.),
143.97,38.58,100,13.94,34.33,0.12,**,1997,8,M. Itou (pers. comm.),
143.98,35.02,50,21.22,34.33,0.17,**,1997,8,M. Itou (pers. comm.),
-177.32,37.48,18,20.42,34.33,0.19,0.9,1973,9,GEOSECS Ostlund et al (1987),
-110,0.5,3,24.94,34.33,0.26,**,1991,1,Laube-L'Enfant (1996),
134.45,7.33,2,27.86,34.33,0.28,**,1998,2,Morimoto et al (2002),
124.19,20.27,475,11.23,34.33,,0.8,**,**,Horibe and Ogura (1968),
136.02,33.23,430,7.37,34.33,,1.1,**,**,Horibe and Ogura (1968),
-122.21,22.52,505,6.41,34.33,,-1,1974,6,GEOSECS Ostlund et al (1987),
-134.47,71.81,240,**,34.34,-0.7,**,1987,3,H. Melling (pers. comm.),
-152.29,71.7,201,-0.8,34.34,-0.37,**,2002,8,Cooper et al (2005),
148.87,-66.88,1,-1.59,34.34,-0.32,**,2001,1,Jacobs et al (2005),
149.66,-66.47,39,-1.44,34.34,-0.29,**,2001,1,Jacobs et al (2005),
148.43,-66.87,47,-1.61,34.34,-0.29,**,2001,1,Jacobs et al (2005),
130.48,77.73,97,-1.16,34.34,-0.28,**,2007,9,Abrahamsen et al (2009),
140.57,-65.39,106,-1.75,34.34,-0.28,**,2000,12,Jacobs et al (2005),
142.86,-66.09,63,-1.26,34.34,-0.28,**,2000,12,Jacobs et al (2005),
147.37,-67.42,42,-1.27,34.34,-0.26,**,2001,1,Jacobs et al (2005),
146.01,53.01,1001,2.37,34.34,-0.19,**,1998,7,Yamamoto et al (2002),
146.5,51.25,1001,2.37,34.34,-0.18,**,1998,7,Yamamoto et al (2002),
152,80.27,97,-1.17,34.34,-0.14,**,2007,9,Abrahamsen et al (2009),
151.87,43.62,800,2.88,34.34,-0.14,**,1996,8,Yamamoto et al (2001),
146.99,53.99,1000,2.42,34.34,-0.14,**,1999,9,Yamamoto et al (2002),
144,37,800,3.81,34.34,-0.13,**,1997,5,M. Itou (pers. comm.),
155.33,47.58,800,2.83,34.34,-0.1,**,1996,9,Yamamoto et al (2001),
-165.29,74.81,174,-0.94,34.34,-0.09,**,1993,8,Cooper et al (1999),
-178.03,-52.58,1112,3.52,34.34,-0.09,-1.2,1974,3,GEOSECS Ostlund et al (1987),
-129.95,-43.01,662,6.17,34.34,0.01,**,1974,4,GEOSECS Ostlund et al (1987),
-129.95,-43.01,123,9.21,34.34,0.06,**,1974,4,GEOSECS Ostlund et al (1987),
136.02,33.23,344,8.42,34.34,,1.5,**,**,Horibe and Ogura (1968),
-179.24,59.49,1100,2.75,34.35,-0.4,**,1990,6,Cooper et al (1997),
148.55,-66.94,48,-1.57,34.35,-0.33,**,2001,1,Jacobs et al (2005),
147.33,-66.74,48,-1.33,34.35,-0.29,**,2001,1,Jacobs et al (2005),
-147.94,58.24,1000,**,34.35,-0.2,**,1980,**,Kipphut (1990),
125.72,78.45,97,-1.26,34.35,-0.17,**,2007,9,Abrahamsen et al (2009),
146.73,34.03,800,3.55,34.35,-0.17,**,1996,5,M. Itou (pers. comm.),
144.02,42,1000,2.78,34.35,-0.17,**,1997,8,M. Itou (pers. comm.),
144.07,39.97,1000,2.89,34.35,-0.17,**,1997,8,M. Itou (pers. comm.),
145,42.5,998,2.82,34.35,-0.16,**,1996,8,Yamamoto et al (2001),
146.75,37,899,3.22,34.35,-0.15,**,1996,5,M. Itou (pers. comm.),
130.04,77.62,197,-0.83,34.35,-0.15,**,1995,8,Frank (1996),
146.75,33,999,3.49,34.35,-0.13,**,1996,5,M. Itou (pers. comm.),
150.65,47.65,1198,2.39,34.35,-0.13,**,1998,7,Yamamoto et al (2002),
130.04,77.62,229,-0.82,34.35,-0.13,**,1995,8,Frank (1996),
125.97,78.92,97,-1.14,34.35,-0.12,**,2007,9,Abrahamsen et al (2009),
157.78,79.15,118,-0.78,34.35,-0.12,**,2007,9,Abrahamsen et al (2009),
-170.58,75.45,153,-1.03,34.35,-0.12,**,1994,7,Ekwurzel et al (2001),
147.83,88.06,123,-0.95,34.35,-0.1,**,1994,8,Ekwurzel et al (2001),
143.5,79.25,96,-0.6,34.35,-0.08,**,2007,9,Abrahamsen et al (2009),
175.5,75.5,151,-0.39,34.35,-0.03,**,2008,9,Polyak and Ortiz (2009, pers. comm.)
144,79.53,100,-0.86,34.35,0,**,2008,10,Abrahamsen et al (2009),
147.98,-67.47,79,-1.63,34.36,-0.3,**,2001,1,Jacobs et al (2005),
148.33,-66,149,-1.82,34.36,-0.28,**,2001,1,Jacobs et al (2005),
142.92,-65.77,60,-1.53,34.36,-0.23,**,2000,12,Jacobs et al (2005),
143.97,38.58,1000,3.06,34.36,-0.16,**,1997,8,M. Itou (pers. comm.),
150.13,48.12,1100,2.35,34.36,-0.16,**,1998,7,Yamamoto et al (2002),
145.84,46.42,1198,2.33,34.36,-0.15,**,1998,8,Yamamoto et al (2002),
151.6,46.73,1100,2.22,34.36,-0.13,**,1998,7,Yamamoto et al (2002),
-125.25,82.8,223,-0.49,34.36,-0.05,**,1988,9,Ostlund and Grall (1993),
125.98,79.83,97,-0.72,34.36,-0.01,**,2007,9,Abrahamsen et al (2009),
-129.95,-43.01,549,6.49,34.36,0.03,**,1974,4,GEOSECS Ostlund et al (1987),
130.57,79.65,145,-0.54,34.36,0.03,**,1993,9,Frank (1996),
146.75,37,29,13.4,34.36,0.09,**,1996,5,M. Itou (pers. comm.),
-138,13,0,**,34.36,0.17,**,**,**,Craig and Gordon (1965),
134.45,7.33,2,28.32,34.36,0.49,**,1998,3,Morimoto et al (2002),
-122.21,22.52,424,7.47,34.36,,-1,1974,6,GEOSECS Ostlund et al (1987),
146.23,-66.8,39,-1.65,34.37,-0.41,**,2001,1,Jacobs et al (2005),
145.69,-66.84,144,-1.68,34.37,-0.35,**,2001,1,Jacobs et al (2005),
149.47,-66.03,140,-1.8,34.37,-0.34,**,2001,1,Jacobs et al (2005),
140.47,-65.65,148,-1.77,34.37,-0.31,**,2000,12,Jacobs et al (2005),
147.1,-66.89,98,-1.44,34.37,-0.3,**,2001,1,Jacobs et al (2005),
142.45,-66.95,99,-0.89,34.37,-0.29,**,2000,12,Jacobs et al (2005),
144.31,-66.83,148,-1.6,34.37,-0.29,**,2001,1,Jacobs et al (2005),
140.76,-65.23,83,-1.68,34.37,-0.25,**,2000,12,Jacobs et al (2005),
143.17,37.47,899,2.86,34.37,-0.23,**,1996,5,M. Itou (pers. comm.),
142.92,-65.73,89,-1.54,34.37,-0.22,**,2000,12,Jacobs et al (2005),
173.67,-66.08,79,-1.07,34.37,-0.2,-2.6,1974,2,GEOSECS Ostlund et al (1987),
-134.39,71.76,245,**,34.37,-0.2,**,1986,3,H. Melling (pers. comm.),
141.2,80.22,100,-0.99,34.37,-0.08,**,2008,10,Abrahamsen et al (2009),
146.66,53.01,1102,2.36,34.37,-0.08,**,1998,7,Yamamoto et al (2002),
-163.63,-32.83,787,6.26,34.37,0,**,1974,3,GEOSECS Ostlund et al (1987),
125.93,79.17,97,-0.66,34.37,0.02,**,2008,10,Abrahamsen et al (2009),
-163.63,-32.83,886,5.75,34.37,0.02,**,1974,3,GEOSECS Ostlund et al (1987),
143.98,37.02,125,10.93,34.37,0.07,**,1997,8,M. Itou (pers. comm.),
-104.92,0,30,24.81,34.37,0.2,**,1991,1,Laube-L'Enfant (1996),
135.93,29.97,1193,3.68,34.37,,-0.3,**,**,Horibe and Ogura (1968),
136.08,31.75,1149,4.06,34.37,,0.6,**,**,Horibe and Ogura (1968),
140.82,-65.82,77,-1.45,34.38,-0.32,**,2000,12,Jacobs et al (2005),
-113.2,-72.63,366,-0.22,34.38,-0.29,**,1994,3,Jacobs et al (1996),
140.38,-65.6,154,-1.76,34.38,-0.28,**,2000,12,Jacobs et al (2005),
140.71,-65.99,79,-1.33,34.38,-0.27,**,2000,12,Jacobs et al (2005),
145.42,39.93,953,2.61,34.38,-0.25,**,1984,9,Oba (1988),
148.25,-66.53,79,-1.75,34.38,-0.22,**,2001,1,Jacobs et al (2005),
146.5,51.25,1099,2.34,34.38,-0.15,**,1998,7,Yamamoto et al (2002),
146.73,34.03,899,3.22,34.38,-0.14,**,1996,5,M. Itou (pers. comm.),
155.5,46,799,2.7,34.38,-0.14,**,1996,8,Yamamoto et al (2001),
151.12,47.21,1212,2.33,34.38,-0.14,**,1999,9,Yamamoto et al (2002),
-158.22,72.88,201,-0.58,34.38,-0.14,**,2002,8,Cooper et al (2005),
157.59,48.46,800,2.75,34.38,-0.13,**,1996,9,Yamamoto et al (2001),
152.3,46.04,1000,2.72,34.38,-0.13,**,1998,7,Yamamoto et al (2002),
151.89,47.19,1200,2.28,34.38,-0.12,**,1999,9,Yamamoto et al (2002),
-178.03,-52.58,1262,2.99,34.38,-0.12,-1,1974,3,GEOSECS Ostlund et al (1987),
-168.22,73.7,140,-0.62,34.38,-0.08,**,1993,8,Cooper et al (1999),
135,78.7,122,**,34.38,-0.04,**,1978,9,Ostlund and Hut (1984),
-122.99,16.52,168,12.12,34.38,0.05,**,1974,6,GEOSECS Ostlund et al (1987),
134.45,7.33,2,30.81,34.38,0.32,**,1998,8,Morimoto et al (2002),
135.93,29.97,1161,4.04,34.38,,-0.4,**,**,Horibe and Ogura (1968),
144.75,-66.63,119,-1.68,34.39,-0.33,**,2001,1,Jacobs et al (2005),
140.56,-65.69,147,-1.77,34.39,-0.29,**,2000,12,Jacobs et al (2005),
141.79,-65.69,111,-1.6,34.39,-0.25,**,2000,12,Jacobs et al (2005),
148.17,-67.33,59,-1.67,34.39,-0.25,**,2001,1,Jacobs et al (2005),
-139.07,70.41,260,**,34.39,-0.22,**,1990,9,Macdonald et al (1995),
130.48,78,97,-1.33,34.39,-0.21,**,2007,9,Abrahamsen et al (2009),
145.39,52.93,1204,2.34,34.39,-0.13,**,1998,7,Yamamoto et al (2002),
146.32,52.34,1196,2.35,34.39,-0.13,**,1999,9,Yamamoto et al (2002),
-168.02,74.1,150,-0.79,34.39,-0.13,**,1993,8,Cooper et al (1999),
-162,-36,1139,**,34.39,-0.13,**,**,**,Craig and Gordon (1965),
151.9,46.38,1002,2.7,34.39,-0.1,**,1998,7,Yamamoto et al (2002),
125.53,78.42,101,-0.72,34.39,-0.04,**,2008,10,Abrahamsen et al (2009),
-121.48,28.51,589,6.01,34.39,-0.04,**,1974,6,GEOSECS Ostlund et al (1987),
125.98,79.4,97,-0.55,34.39,-0.03,**,2007,9,Abrahamsen et al (2009),
-129.95,-43.01,1293,3.33,34.39,-0.03,**,1974,4,GEOSECS Ostlund et al (1987),
-178.03,-52.58,387,6.98,34.39,-0.02,-0.3,1974,3,GEOSECS Ostlund et al (1987),
-170.07,-38.38,1088,5.4,34.39,0.01,**,1974,3,GEOSECS Ostlund et al (1987),
-170.07,-38.38,1243,4.43,34.39,0.01,**,1974,3,GEOSECS Ostlund et al (1987),
144,37,200,11.23,34.39,0.07,**,1997,5,M. Itou (pers. comm.),
134.45,7.33,2,27.84,34.39,0.34,**,1998,2,Morimoto et al (2002),
147.51,-66.78,78,-1.56,34.4,-0.3,**,2001,1,Jacobs et al (2005),
147.2,-67.23,58,-1.62,34.4,-0.29,**,2001,1,Jacobs et al (2005),
146,-66.69,147,-1.57,34.4,-0.28,**,2001,1,Jacobs et al (2005),
142.88,-65.84,94,-1.44,34.4,-0.27,**,2000,12,Jacobs et al (2005),
142.88,-65.81,98,-1.57,34.4,-0.24,**,2000,12,Jacobs et al (2005),
147.07,-67.31,58,-1.53,34.4,-0.23,**,2001,1,Jacobs et al (2005),
125.98,77.73,95,-1.46,34.4,-0.2,**,2007,9,Abrahamsen et al (2009),
146.75,37,1000,3.02,34.4,-0.16,**,1996,5,M. Itou (pers. comm.),
143.98,37.02,1000,2.73,34.4,-0.15,**,1997,8,M. Itou (pers. comm.),
146.01,53.01,1200,2.33,34.4,-0.13,**,1998,7,Yamamoto et al (2002),
-156.58,72.3,200,-0.32,34.4,-0.1,**,2005,6,Polyak and Ortiz (2009, pers. comm.)
156.25,49.12,1000,2.66,34.4,-0.09,**,1996,9,Yamamoto et al (2001),
143.57,79.68,101,-0.71,34.4,-0.05,**,2008,10,Abrahamsen et al (2009),
142.85,29.08,483,11.76,34.4,-0.05,**,1984,8,Oba (1988),
133.26,78.31,95,-0.84,34.4,-0.04,**,1993,9,Frank (1996),
-173.32,76.62,155,-0.82,34.4,-0.02,**,1994,8,Ekwurzel et al (2001),
135,78.81,124,-0.49,34.4,0.01,**,1995,8,Frank (1996),
-171.67,75.94,168,-0.68,34.4,0.02,**,1994,7,Ekwurzel et al (2001),
-170.07,-38.38,892,6.49,34.4,0.04,**,1974,3,GEOSECS Ostlund et al (1987),
128,-10,0,**,34.4,0.07,**,**,**,Craig and Gordon (1965),
-135,48.88,1205,**,34.4,0.1,**,**,**,Epstein and Mayeda (1953),
145.05,-49.63,0,**,34.4,0.13,**,1969,**,Duplessy (1970),
-160.33,25.7,999,**,34.4,0.13,**,**,**,Epstein and Mayeda (1953),
-120.7,18.55,0,**,34.4,0.19,**,**,**,Epstein and Mayeda (1953),
121.98,25.17,0,**,34.4,0.2,**,1992,**,Kang et al (1994),
-126.25,10.68,0,**,34.4,0.2,**,**,**,Epstein and Mayeda (1953),
134.45,7.33,2,31.19,34.4,0.26,**,1998,9,Morimoto et al (2002),
-117.5,28.3,598,**,34.4,0.27,**,**,**,Epstein and Mayeda (1953),
-125.2,3.83,0,**,34.4,0.41,**,**,**,Epstein and Mayeda (1953),
